year,actor,film,is_winner,is_tie,category,num_films
1952,Ralph Richardson,The Sound Barrier,true,false,Best British Actor,1
1952,Jack Hawkins,Mandy,false,false,Best British Actor,1
1952,James Hayter,The Pickwick Papers,false,false,Best British Actor,1
1952,Laurence Olivier,Carrie,false,false,Best British Actor,1
1952,Nigel Patrick,The Sound Barrier,false,false,Best British Actor,1
1952,Alastair Sim,Folly to Be Wise,false,false,Best British Actor,1
1952,Marlon Brando,Viva Zapata!,true,false,Best Foreign Actor,1
1952,Humphrey Bogart,The African Queen,false,false,Best Foreign Actor,1
1952,Pierre Fresnay,God Needs Men,false,false,Best Foreign Actor,1
1952,Francesco Golisano,Miracle in Milan,false,false,Best Foreign Actor,1
1952,Fredric March,Death of a Salesman,false,false,Best Foreign Actor,1
1953,John Gielgud,Julius Caesar,true,false,Best British Actor,1
1953,Jack Hawkins,The Cruel Sea,false,false,Best British Actor,1
1953,Trevor Howard,The Heart of the Matter,false,false,Best British Actor,1
1953,Duncan Macrae,The Kidnappers,false,false,Best British Actor,1
1953,Kenneth More,Genevieve,false,false,Best British Actor,1
1953,Marlon Brando,Julius Caesar,true,false,Best Foreign Actor,1
1953,Eddie Albert,Roman Holiday,false,false,Best Foreign Actor,1
1953,Van Heflin,Shane,false,false,Best Foreign Actor,1
1953,Claude Laydu,Diary of a Country Priest,false,false,Best Foreign Actor,1
1953,Marcel Mouloudji,We Are All Murderers,false,false,Best Foreign Actor,1
1953,Gregory Peck,Roman Holiday,false,false,Best Foreign Actor,1
1953,Spencer Tracy,The Actress,false,false,Best Foreign Actor,1
1954,Kenneth More,Doctor in the House,true,false,Best British Actor,1
1954,Maurice Denham,The Purple Plain,false,false,Best British Actor,1
1954,Robert Donat,Lease of Life,false,false,Best British Actor,1
1954,John Mills,Hobson's Choice,false,false,Best British Actor,1
1954,David Niven,Carrington V.C.,false,false,Best British Actor,1
1954,Donald Wolfit,Svengali,false,false,Best British Actor,1
1954,Marlon Brando,On the Waterfront,true,false,Best Foreign Actor,1
1954,Neville Brand,Riot in Cell Block 11,false,false,Best Foreign Actor,1
1954,José Ferrer,The Caine Mutiny,false,false,Best Foreign Actor,1
1954,Fredric March,Executive Suite,false,false,Best Foreign Actor,1
1954,James Stewart,The Glenn Miller Story,false,false,Best Foreign Actor,1
1955,Laurence Olivier,Richard III,true,false,Best British Actor,1
1955,Alfie Bass,The Bespoke Overcoat,false,false,Best British Actor,1
1955,Alec Guinness,The Prisoner,false,false,Best British Actor,1
1955,Jack Hawkins,The Prisoner,false,false,Best British Actor,1
1955,Kenneth More,The Deep Blue Sea,false,false,Best British Actor,1
1955,Michael Redgrave,The Night My Number Came Up,false,false,Best British Actor,1
1955,Ernest Borgnine,Marty,true,false,Best Foreign Actor,1
1955,James Dean (posthumous),East of Eden,false,false,Best Foreign Actor,1
1955,Jack Lemmon,Mister Roberts,false,false,Best Foreign Actor,1
1955,Toshiro Mifune,Seven Samurai,false,false,Best Foreign Actor,1
1955,Takashi Shimura,Seven Samurai,false,false,Best Foreign Actor,1
1955,Frank Sinatra,Not as a Stranger,false,false,Best Foreign Actor,1
1956,Peter Finch,A Town Like Alice,true,false,Best British Actor,1
1956,Jack Hawkins,The Long Arm,false,false,Best British Actor,1
1956,Kenneth More,Reach for the Sky,false,false,Best British Actor,1
